id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
211	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	164	212
212	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	165	213
213	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	166	214
214	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	167	215
215	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	168	216
216	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	169	217
217	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	170	218
218	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	19.79	157	219
219	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	171	220
220	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	172	221
221	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	102.3	157	222
222	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	173	223
223	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	174	224
224	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	175	225
225	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	176	226
226	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	177	227
227	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	178	228
228	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	179	229
229	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	540	157	230
230	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	180	231
231	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	181	232
232	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	182	233
233	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	183	234
234	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	184	235
235	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	185	236
236	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	186	237
237	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	125	187	238
238	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	6.25	188	239
239	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2.5	189	240
240	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	190	241
241	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	99.5	191	242
242	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	192	243
243	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	193	244
244	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	194	245
245	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	195	246
246	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	196	247
247	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	197	248
248	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	198	249
249	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	199	250
250	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	200	251
251	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	2	201	252
252	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	202	253
253	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	203	254
254	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	204	255
255	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	205	256
256	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	206	257
