condition_id	icd10_code	created_at	updated_at
c_9427	S52.90XQ	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XR	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5629	L03.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10717	O99.719	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10717	L28.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5630	R62.51	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9411	T14.8XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9411	T14.8XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9411	T14.8XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11555	E78.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10337	C56.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9096	P27.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10891	L90.6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3850	I10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9768	R29.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9813	G25.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19523	S12.9XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19523	S12.9XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_19523	S12.9XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9812	A81.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9861	N87.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10371	C43.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2881	R13.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8241	M94.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8382	E70.29	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11192	M54.50	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4134	R82.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10081	L13.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13408	N87.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10658	L10.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11067	K74.69	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10892	L50.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2142	E03.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2125	B27.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
