id	exclude_id	category
15b08330-6d40-46d8-a62b-683935d6640e	005ecfe0-8110-4d46-a3ef-3acbaca281a2	G10
d32f59a8-b8b9-4923-b631-edba3b339d2d	bc806bd6-b3d3-4e37-aa62-36686825059d	I38
7518957f-8b27-4ea7-b55f-582ab6ed5a86	7b760d0d-caa9-49a7-b5f6-46b190f58cdd	I38
93dc5636-2597-41c5-a542-0289a826235c	68fcf953-43e2-461a-b669-bdeca14d8e83	I5A
454ca734-81bc-461f-a12e-10b3b6d5beb4	145976d8-5084-414e-994d-b53a3513da54	I5A
644b3124-0d36-451c-95ff-54fe79aeac1d	3d3e89c4-3fae-49fb-8a2c-5cd87233b0e8	I76
31ef1831-bf5f-449d-ab37-a694d9e31bde	c72218f3-6767-4155-9e2c-db22dc8e5bf2	I38
ba59ec52-f48f-4755-bd3c-32dffe820eb2	5ef3f922-eaa8-413e-b1d8-6f5c3011cfb9	I76
818e871c-4b1a-4102-8241-7eabd89c6526	26e3e561-4614-4b17-bb17-2dfb73a96426	G08
412b7d33-ecc0-4f2c-954e-bccb0ff432b8	ecc180a5-4311-4b27-9842-bf5f0fa09cd0	I81
9365cccd-b470-40b0-86d7-eb2b576d59e7	54ce8185-12df-4673-b8ba-4657f4ee015d	B20
da1fc94f-9362-4d3e-b1b5-c157c8e1e678	a802b885-6bfc-45f9-afdc-b76d35a98d36	L88
f6abd070-9dd6-43ce-8415-43bb980202f2	d4131c74-1a1f-4e79-9d26-8c128ac702dd	J36
f684a863-bd0a-4b42-932d-72a634294708	18fe07d1-7f30-4661-b291-a75cfb519681	J36
8be20eb2-2d6a-428a-8555-145b758f9219	8234f249-9565-4a18-9f84-2880b64a3062	J42
ab36c6de-f596-4911-9f67-2529ab6ea018	c2c9b36d-899e-41e5-9e9b-9972e8597c2f	J22
7344087c-0b00-4d68-93c6-555a3794fa8d	e1f5dcbc-9723-492a-b588-c7041ddb4601	O29
26738589-1f76-4af4-8fca-f30b7001c590	b23b6919-017c-4dc3-9253-727af76cef71	J13
284dff50-ef9e-467c-9835-5ae0ceef7649	f0be8599-ce63-43bb-a8d1-f8ca11e0829d	A70
e53521ee-6028-497c-a88e-452e08fa9993	585d7e92-a28f-4081-bf6f-580b6c4365a7	B59
3701d01e-8c03-4f4a-9fca-ada03a13f9c7	9e5961d7-f953-4ee2-a57e-942a8e0ad839	B59
2c688fbd-6e3e-470c-bfb3-fbb006a67603	1f13a1a2-eda4-4c54-9f39-5ad0992b5d63	B59
0d4dde5e-6bcd-44f6-be04-310eed01a170	da8a8f8f-1849-4756-8fed-537422a86116	B59
60948dd8-aea9-48e6-ac17-511a48d329de	4960a3ee-e1e1-4e9a-a5e8-e0346fcd48f4	O29
adbac209-814f-40cb-a13a-1a65040cd5b2	3eaf924f-670b-4d5c-8c0b-1d2b7535a7f3	J40
78ecb3b9-c925-4b33-bd5a-d9384f1d903c	2fd199f1-db0a-47d6-9ccb-7e97ddf57c4e	J40
afa31d0f-2338-42bc-8e97-3eae9aefb5df	ee8d2794-d7f3-49e0-a85d-ff8c7990e2b5	J42
c27a51bb-153a-465f-961f-2709b095bf13	61f7c87a-7f4e-4790-a7ee-09595929871f	J42
