id	created_at	updated_at	name	category	inactive_reason	address_id	location
f60f8486-628c-4919-b110-cfbf78a650f0	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Rutope			e468d381-6c02-4c5c-8b2e-9e3f512b27d2	0101000020E6100000BA2700E0C7903F401F80D4264E8E31C0
f1835c31-176a-45d6-b564-c4c57be3db22	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Trojan			c08039d4-a466-4541-93b7-0f01ca1dce76	0101000020E6100000D2310000FB483F40A2D11DC4CE5431C0
6a21277b-137e-4653-b143-0c95cbdc07d8	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mupandira			25e32b92-521d-4535-b334-9da30e83e99a	0101000020E610000082A8FB00A44E3F40732D5A80B67531C0
04a94c17-0514-4e74-b698-4b3512fa02f8	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Ponai Medical Centre			d8ce4de8-869b-48e9-8dd9-bdc98c2ef19d	0101000020E610000076374F75C8553F402CD49AE61D4F31C0
677bbb6d-c803-4b6f-bcbd-a17c6cd6731c	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	PSMI Shashi			bc53891c-4fe6-47a8-b8af-a0bc9482d3a7	0101000020E610000098A3C7EF6D523F40BDFBE3BD6A4D31C0
c9d4c758-ad64-4636-a59f-7acbb24c4a0d	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Premier Medical Centre			1500afa7-cd77-4464-94de-f8669346c6ad	0101000020E6100000857CD0B359553F40D8F50B76C34E31C0
bedc4761-aed0-48e3-917f-85e2d2b539db	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Bindura University			ea6fd855-81cc-4920-ab15-279c80de3f44	0101000020E6100000139B8F6B43553F40C16ED8B6285331C0
7257c33b-a8a5-4a46-9375-9b8cfd5dfa18	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Zimbabwe Prison Services			cb0cfdaa-8eb7-4bb5-9e4c-bbba2ca06037	0101000020E6100000166A4DF38E533F40D027F224E94A31C0
279c5ddb-6b13-406a-9ad2-fb39cdd42794	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	ZNFPC			4aa510c3-7d30-492f-8490-60f656b5d7dc	0101000020E61000003D61890794553F40650113B8754F31C0
dd182cab-06d3-432c-ae28-0a11eadaaf07	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Manga			b687f09a-f65b-4f6a-8684-ebc121a59b94	0101000020E6100000B6F3FDD478413F40DD24068195E330C0
dcdabe0a-dbf1-46cd-b49f-c017ffb623a7	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Katanya			2aaca8f1-4e3f-4081-b7eb-aace2cd0d3e2	0101000020E61000001ADD41EC4C613F40E6AE25E483DE30C0
daa67320-f9bf-4a36-9753-574b58170e7c	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Busce 			ec6c1f99-7988-49d0-8cfb-a4b03cca6c29	0101000020E61000006891ED7C3F553F406C787AA52C5331C0
ff70f672-12c6-48d8-a4c9-4632b842d0b2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Takunda 			8f72aa4e-5daa-4f47-8da6-9129290eb497	0101000020E610000082734694F6263F40ECC039234A3B31C0
01caf958-a2ef-42c4-add3-1eaf96ce0585	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Glamorgan			48d3e831-d3dc-47c3-8341-8ebc2c2b8d44	0101000020E6100000EA95B20C716C3F40C6DCB5847C7031C0
008c20b0-0379-494b-951f-c20e8443de6f	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Binga			72520a55-4507-49f6-9841-06aaa22d60c6	0101000020E6100000840700A0A0533B4016C1FF56B2A331C0
b446313f-dfab-4267-aedf-b9b7a279ad51	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chinego			167cfa66-4064-4786-a233-fe1fa98c71e0	0101000020E61000009FD4FF3F33133C408BE07F2BD93131C0
a62d87bb-3d5f-44ed-bced-c942c6c9c5d8	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Muchesu			867d6a6d-3107-44e7-8b69-8f80c56c367b	0101000020E61000006CFDFF7F6DB03B408ACDC7B5A1F231C0
37cd9781-273a-4a26-87b4-31e4a1616aaa	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Kariangwe			dea90f46-3828-4785-80ea-e477056e9cd6	0101000020E6100000B0F2FFBFF5883B40F146E6913FF831C0
aa853824-4bfc-4463-81d0-0f755460059f	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Lubimbi			677034f8-84bf-4f4c-aae0-44c9fd9cea2f	0101000020E61000001AEDFFFF22313B40A583F57F0EF331C0
d16cba71-9b31-400c-b1cb-b6d41e2c65c5	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Lusulu			ea99ec92-b587-4af4-b395-b1a23093a80e	0101000020E6100000CF2B0080BADC3B40EF552B137E1132C0
8e4c0ae0-6cfc-4b78-ab9f-7be2645c2799	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Pashu			4a8e696c-57c5-426e-8d25-5501da2bfb5c	0101000020E6100000DDE0FF1F8B663B40139B8F6B433532C0
4d49b5c5-e84b-4a53-a21d-12115e3a0c34	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Siansundu			03fcbb69-5935-4195-abaf-9a9f0f39803e	0101000020E6100000DC0000801B383B40F92CCF83BBFB31C0
dc64c4e8-fee0-4017-9f4b-c05cc19b0dae	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Siabuwa			68d08f45-41ac-4fd3-947a-fa008e7c57c0	0101000020E6100000620B00603C0B3C40D3C1FA3F877931C0
446504f8-66df-4abd-a0df-eaf5d7ff643a	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Sikomena			ce668123-8361-4d17-a9f5-97745a5dc2b5	0101000020E61000001CCEFC6A0EA83B402CBCCB457C2F32C0
0c76f049-d57d-494e-a673-f4336658b947	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Tinde			58f3d684-afc0-4fa0-b822-6e12f8bd4153	0101000020E6100000E6E8F17B9B2E3B407B14AE47E14232C0
222eb99a-d0f5-43f6-b377-2dfd9ef6fbcf	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Sinakoma			f7971c5a-1ee4-454f-88de-a9b53299b938	0101000020E6100000FB743C66A09A3B40B7973446EBB031C0
9cd54374-16ed-40a8-819a-1d687690c1fc	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Siabuwa Turn			7dac1f51-39fe-4c0b-b14e-209cb8111b43	0101000020E61000003B014D840D6F3B407D7901F6D1B131C0
71cf83b6-310a-4811-bd3e-72ddebd6e3b1	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Simatelele			00e92bea-6947-4dbf-b62e-64462994422f	0101000020E6100000FDA4DAA7E3413B408B1A4CC3F0C931C0
c6cd23e2-be9b-4a77-948b-4300e6ea8039	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chibila			e646fcfd-d025-4243-aed0-5e3caf6ccae1	0101000020E610000039EE940ED6B73B40B2463D44A32B32C0
