id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
e4aa7a2f-f3e6-4ee1-9e9f-c4b40337ac76	fffde1bd-7db3-4ba0-9089-af916c7cad71	L00	L08	f	f
76bb49d2-83cb-4eae-86e1-eeda04000151	e6724350-5e1a-4890-955b-b652ae60ef1c	L00	L08	f	f
a3782aeb-6318-4a9d-8863-7b03bf14a413	5f2c88a0-5624-4850-b85a-aeaa23acdf9e	I83.0	I83.93	f	f
2a37c5f2-3bad-4850-be70-59b86adc809c	4449c1bb-69b1-44d3-ac5c-f8bf581824d7	A18.01	A18.02	f	f
59e3f726-be3f-45af-a3ce-b94ae27eb501	c278a609-3e11-4ef6-841a-39e652e053d6	M15	M19	f	f
0908da55-86b3-4124-916d-28b4e66f10b4	78dceb74-99e1-4786-98da-e188e48bc9dc	M18.2	M18.3	f	f
c83fd03e-0cc7-496f-8799-5eb54e51841f	89410c0d-6a3c-4cc0-9df9-cbef97939504	M16.4	M16.5	f	f
960cb5ea-32ab-4d44-8cf6-ffe7e4f24e61	7261862f-a68d-4a21-b2e6-67c8311b7667	M17.2	M17.3	f	f
6986d6bd-8a9b-47bf-8cf5-f082487785c3	bef36623-7bbb-43fb-9639-c6c10ba51a72	M15	M19	f	f
67dce0ad-b27c-4968-925d-57a8711f5d64	254e22b7-bf0f-4a80-ae5c-fa81e357798c	M15	M19	f	f
2ac8137c-bf76-403b-970b-2202d8f08625	2a661f19-8fe7-49fa-b99b-101c61482445	M15	M19	f	f
d2483c5a-20a6-486f-8e8d-a7e44deafb63	2c76f0c1-fdde-4789-a51c-1fdd1b9a8076	M36.2	M36.3	f	f
8dd67fc0-4595-4cad-a94e-52ab679d2232	d610aac5-08d0-40e3-a50e-aecadaf83301	M16	M19	f	f
18d220c3-a5e3-42cc-b748-9231f8725774	e2a2965a-63db-4264-9246-5dd4e45ce602	Q68	Q70	f	f
bd389697-c8d8-432a-93e1-556c04f28003	0117a2db-2658-449e-b110-42e3b2b762b7	Q71	Q73	f	f
21359510-8d0c-4ddd-b24d-568d49485848	01800b9c-6e80-4f63-b952-d1550b2d3d92	Q65	Q66	f	f
b09cee74-0d0b-4a55-a7b2-633267bc8559	01800b9c-6e80-4f63-b952-d1550b2d3d92	Q68	Q74	f	f
72ddcfdf-172a-4b92-8f2a-2f4d1af98553	a6bc0cf0-b152-42a2-9ca5-5a16d64eebbd	M20.1	M20.6	f	t
ff01cfd5-1032-42b3-8f91-f682d18415d7	7f26529b-25ec-4660-9051-3a2afb0e2897	S80	S89	f	f
4a376faf-a909-4f52-b967-3af71145a1d2	85ef7ee2-cee8-4101-aa35-5c2da6554e14	M22.0	M22.1	f	f
a15b5236-4f06-4d32-b55c-5bf3562983e8	ee391dbe-00e4-439f-b833-bcb1c62d19fe	Q65	Q79	f	f
6c25c70e-a392-4666-b085-d4a8d4f21906	3cc57f89-b770-4e04-9794-bee62126ec0c	M22.0	M22.1	f	f
fa61cbcf-8a51-4925-9f6a-e21a9d9a4e08	6d866517-0ae3-4c15-a546-d7311220ca3a	M20	M21	f	f
4b7623c4-9f6a-4750-a680-d75b5c62138f	3dd63af7-691c-4ff5-b064-9f5442139da4	M20	M21	f	f
3a68c0a4-e4e6-4d47-afd9-1f807eaaedf8	74e033c6-6967-4ddb-80bc-ae9973f296b8	Q76.3	Q76.4	f	f
7de43324-33bb-4797-a2c0-f85c63788cbf	6e6ab6ff-95ec-4972-884f-e3f68432ac2b	S12.0	S12.3	f	t
438a834a-2024-4da9-bd76-1192c16581b5	be936db1-b226-483a-8e24-009ec0b96060	M75	M77	f	f
5e88cb7c-5e9c-4e0c-9648-474621a93d6c	0af653fe-bcbb-4621-b58a-9cb585d20e24	M71.2	M71.3	f	f
efda950c-b995-48c7-b997-728544a93474	185a7ec6-8ade-4c8d-a9da-a3484fd4ea3e	M71.2	M71.3	f	f
91eedfe7-9897-43a4-931c-f179385faa1a	10737241-d636-49ec-b097-a7cf8d4257f7	M76	M77	f	f
1572cf02-af24-4671-94a8-d8a2f67c8894	0eb82752-ef89-4af8-9fb7-1d75cd30ca13	M76	M77	f	f
a2d0a2cf-a501-4891-87b2-9a94b7404859	f94fd7c3-45fe-48b0-a2e3-aa212b0077f9	G56	G58	f	f
8486b671-74d1-4bef-8e59-1323697da914	252a3b5a-eddf-4c28-9da5-fc22d1eeaed5	M54.3	M54.4	f	f
edb8d648-8481-4559-90e3-f446f8ec223d	4848c659-4345-496d-b418-5d05c2c15423	M91	M92	f	f
68b8e51c-5a76-4818-91c8-fc188792daf9	c05b3174-3f90-47cc-8d61-619745080005	M90	M93	f	f
06ec8164-fe72-4c13-ae53-a935094a5cf1	0edeb092-052d-4e61-8fe6-1a36135012ab	Z89	Z90	f	f
e69da856-28b2-4af8-a4d6-1e4f09c3d647	cd84d6a7-0ad6-468f-a7b4-15dd992c5288	M20	M21	f	f
6d477859-cc55-48b2-b5a0-84847afc1507	59e654e7-d81c-4cda-8e14-6de85a0b8dbe	Q65	Q79	f	f
93055210-ded7-4d6c-b071-195b1540517f	9da48557-ea11-408a-bfef-2dbc01fc48f7	M40	M43	f	f
a7429e72-bd23-4216-99ac-87cd81e77bf6	5b36c11d-9d3d-4cb9-9d8b-6b069319eccc	Z96	Z97	f	f
6a452364-410e-454a-9996-4bdc5fc4e37c	5ae72ebf-1ab0-4ba0-a397-28d5f34b82f2	Q62.0	Q62.3	f	f
13399aff-8807-4341-82b7-a639f2bfaee3	8b5530d9-9e13-4af9-9f8e-1a1964192e66	N82.0	N82.1	f	f
9c63db3c-45e3-43df-bb31-34032a04e09b	eb21c916-b32e-4c1d-8806-e9a5638facb0	A50	A64	f	f
b0380614-c9ed-4afb-922a-8d8731de7c24	1f643ace-6e29-40c3-8e17-0e8715ea49fb	N81.2	N81.4	f	f
