id	age_determination	pregnancy	warning_sign	priority
276546007	older child	t	Not breathing or Reported apnoea	Emergency
276725001	older child	t	Not breathing or Reported apnoea	Emergency
277356002	older child	t	Not breathing or Reported apnoea	Emergency
301821009	older child	t	Not breathing or Reported apnoea	Emergency
361208003	older child	t	Not breathing or Reported apnoea	Emergency
371101003	older child	t	Not breathing or Reported apnoea	Emergency
416945002	older child	t	Not breathing or Reported apnoea	Emergency
442164004	older child	t	Not breathing or Reported apnoea	Emergency
719976001	older child	t	Not breathing or Reported apnoea	Emergency
722914008	older child	t	Not breathing or Reported apnoea	Emergency
722915009	older child	t	Not breathing or Reported apnoea	Emergency
724229002	older child	t	Not breathing or Reported apnoea	Emergency
724506009	older child	t	Not breathing or Reported apnoea	Emergency
724507000	older child	t	Not breathing or Reported apnoea	Emergency
762287001	older child	t	Not breathing or Reported apnoea	Emergency
765751002	older child	t	Not breathing or Reported apnoea	Emergency
774068004	older child	t	Not breathing or Reported apnoea	Emergency
789009003	older child	t	Not breathing or Reported apnoea	Emergency
789055001	older child	t	Not breathing or Reported apnoea	Emergency
1091000119108	older child	t	Not breathing or Reported apnoea	Emergency
1101000119103	older child	t	Not breathing or Reported apnoea	Emergency
9741000119101	older child	t	Not breathing or Reported apnoea	Emergency
85721000119105	older child	t	Not breathing or Reported apnoea	Emergency
91441000119109	older child	t	Not breathing or Reported apnoea	Emergency
104831000119109	older child	t	Not breathing or Reported apnoea	Emergency
16275741000119100	older child	t	Not breathing or Reported apnoea	Emergency
217781531000119107	older child	t	Not breathing or Reported apnoea	Emergency
403190771000119102	older child	t	Not breathing or Reported apnoea	Emergency
679196341000119100	older child	t	Not breathing or Reported apnoea	Emergency
12770006	older child	f	Central cyanosis (SPO2 less than 92%)	Emergency
84260001	older child	f	Central cyanosis (SPO2 less than 92%)	Emergency
95837007	older child	f	Central cyanosis (SPO2 less than 92%)	Emergency
64661000	older child	f	Pulse weak & fast	Emergency
214264003	older child	f	Lethargic	Emergency
450847001	older child	f	AVPU: responds only To Pain (P)	Emergency
37183000	older child	t	Lethargy/ floppy infant	Emergency
186611004	older child	t	Lethargy/ floppy infant	Emergency
205294008	older child	t	Lethargy/ floppy infant	Emergency
240080003	older child	t	Lethargy/ floppy infant	Emergency
371047008	older child	t	Lethargy/ floppy infant	Emergency
398152000	older child	t	Lethargy/ floppy infant	Emergency
449909007	older child	t	Lethargy/ floppy infant	Emergency
449910002	older child	t	Lethargy/ floppy infant	Emergency
