id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
31114ac2-c324-43be-895c-f6576d8694d5	2024-05-01 17:00:03.665722-04	2024-05-01 17:00:03.665722-04	20	8a40e41c-3735-401d-8c83-8fd9d9c9231d	2ebbdfba-97ae-4b86-9f19-121b9e9dbef6
1854003a-9906-4bb1-9df3-751b0b73febc	2024-05-01 17:00:03.665807-04	2024-05-01 17:00:03.665807-04	40	871495fa-426d-4618-ba1a-ddb0ae4e0c30	65f5f486-8f53-482f-a93f-82f07d1e4640
17a7505f-02f8-46ed-80a4-ea671f82490d	2024-05-01 17:00:03.665902-04	2024-05-01 17:00:03.665902-04	150	174cdc22-cf1c-4b1d-8bcd-2dfc37caf1d9	848e6ffe-8c61-4379-b2a2-9af416f30bf3
a7f3ea36-2386-4b59-ad3d-6533260c85d5	2024-05-01 17:00:03.666011-04	2024-05-01 17:00:03.666011-04	7.5	484010f5-c064-415d-b450-f0f1ae1a4c70	f1c246e4-cc1d-467d-b95d-0fa01229c9b0
5f81a425-badb-4ff3-8e30-863a0b1e5105	2024-05-01 17:00:03.66611-04	2024-05-01 17:00:03.66611-04	400	266cc990-5f7f-433f-a04b-51703c05602a	0156df1f-3e51-4c3e-b980-c71056964a27
45aaab84-ebfc-4094-8e8f-e6dcd86a5a2a	2024-05-01 17:00:03.666299-04	2024-05-01 17:00:03.666299-04	850	31269d00-5a55-4f36-b88b-54b3d135065c	6c436513-0a30-4775-b199-a2264158ce29
bfa95684-d5ee-4a6c-9aa4-304525852d82	2024-05-01 17:00:03.666589-04	2024-05-01 17:00:03.666589-04	250	84d4f9a2-bca3-4502-95dc-8331ffd33316	817f3a29-580c-4081-8473-c3a46aa4cdff
133f6d12-6996-48fc-93a4-820e773ae2b9	2024-05-01 17:00:03.66748-04	2024-05-01 17:00:03.66748-04	500	226f40d4-15ba-49a5-9390-5b510fba2350	cc54e2f0-0a54-4943-96a2-455d6f333fc2
16d955d3-e66f-4448-b042-f71b52ca0201	2024-05-01 17:00:03.668236-04	2024-05-01 17:00:03.668236-04	50	f096d639-5cdf-4fc8-b7fb-3641d14eb02c	ad8d6394-cb5d-4c7f-a2aa-d69aa0bf8263
4e4a8bb3-6dfd-4dfb-a9b5-f6bfcf23845a	2024-05-01 17:00:03.668438-04	2024-05-01 17:00:03.668438-04	20	cab6601a-6c1d-4c20-81f9-501978cc0af7	8c19867f-9f2a-4daa-8288-2560af56c5d6
6eca2fbb-1207-4140-b963-f0ca3c449119	2024-05-01 17:00:03.668737-04	2024-05-01 17:00:03.668737-04	20	5980f38a-6383-4a1c-98f7-0e955338789b	2ccdfe11-e32b-410f-a2d9-ff989dba776d
462815f2-107f-4695-bb7d-821817d7477f	2024-05-01 17:00:03.668842-04	2024-05-01 17:00:03.668842-04	240	5f5f92c8-19df-4b9d-a3bb-c94343851201	8b3da5a5-5f71-4996-80e4-05888f6b2765
326dba07-fd93-4beb-a895-dcdd4339a843	2024-05-01 17:00:03.670385-04	2024-05-01 17:00:03.670385-04	50	ee1b9b85-d40b-4313-8b90-911214ecde01	b8463e44-b9b6-4142-ba02-747d08d4a29f
0a929102-c5e6-4ba6-8e5b-f4fe83caa3b4	2024-05-01 17:00:03.671-04	2024-05-01 17:00:03.671-04	0	557d788b-dc51-4278-a95a-00ead81c4a56	8447bf50-e744-4dc0-816e-3705f56eba18
eb189640-a7ba-4743-9caf-d86961175ae9	2024-05-01 17:00:03.671096-04	2024-05-01 17:00:03.671096-04	50	7694f567-2927-4ca6-98ef-6c1b3af0691f	abdc3e03-68a5-458d-8132-1c3af24c0e98
9fe26790-eae4-4e11-9c6a-43775f9fef3b	2024-05-01 17:00:03.671192-04	2024-05-01 17:00:03.671192-04	800	c3111474-aa77-417f-a66f-2bcb4141786d	1f42d1a3-ec2b-4a9c-a90e-bd24e377364b
7f26109e-0708-43ed-9cde-bc52642c92b6	2024-05-01 17:00:03.671311-04	2024-05-01 17:00:03.671311-04	100	8eafe2e2-ef1a-452e-8c06-3eb0f78bef0e	be340c6c-17ad-49cd-a790-4ee91985cd19
76a2962a-e87f-4180-b91f-466044a78d02	2024-05-01 17:00:03.671503-04	2024-05-01 17:00:03.671503-04	10	b7360105-b630-4c01-9a60-9315f8c6edc4	240935fa-6786-4d21-bef0-7e8ee55a3bd6
4cdd9795-c50b-446d-ba89-7f2c2a86d370	2024-05-01 17:00:03.671672-04	2024-05-01 17:00:03.671672-04	10	1e8168bb-8ab8-4356-b35c-29a0466c3003	b51297c0-bcb9-434f-abcf-0b4879b2639c
7dcc83f2-0f79-4abe-8782-3e292c86091d	2024-05-01 17:00:03.672327-04	2024-05-01 17:00:03.672327-04	1000	ee1b9b85-d40b-4313-8b90-911214ecde01	c269dc0a-bfb7-422e-b631-c244a6a7d0fe
