id	medication_id	value	units	description
1c617de5-c149-49a7-8bd9-e23887a843ba	536d24a6-c4a3-45b1-81e3-e5a299543ca5	1	TABLET	TABLET
aa5ee3d5-5e9c-4cc0-96fa-0e3a372fe220	47f55f45-4d33-448c-a01a-8318d1fd0f2b	1	TABLET	TABLET
ac6b3473-b1a5-4506-91ea-6aafdc670510	af41a9bf-cf99-427d-b007-acd2098a290c	1	TABLET	TABLET
1fc177c0-c8aa-46c4-a8f3-4eea79add0c0	d20cac90-7a6d-4f6e-9f05-ed2115726c74	1	TABLET	TABLET
7a1f2954-4ead-4578-9f33-c97d3b8fd85d	68946294-87e9-4e1d-bccb-3f095cccb11b	1	TABLET	TABLET
d8efe5a0-d911-4317-92fd-3710794bff28	27acdca7-cf79-413f-bff8-951be62c3b93	1	TABLET	TABLET
a2ca8675-3d41-499d-9d76-f158a218267e	48274762-3c37-474e-88e1-600ea4fd266e	1	TABLET	TABLET
23f1817b-1566-4501-9662-c4b62a0b15c6	894646c5-4dad-4df1-bfd6-e92ccdb118e9	1	TABLET	TABLET
13a0d2fe-da35-4fb9-84a3-c7258b63985e	45c79bda-538d-4fe1-9a07-09e5c02b84bf	5	ML	GRANULE, FOR SUSPENSION
511824e6-5468-4d87-b32b-1be808c0db28	4f0363ce-72ab-4bd7-937d-27eda85dadbf	5	ML	GRANULE, FOR SUSPENSION
78a9c154-cd73-4e9b-99f8-4fe615bc53c2	d094a189-bb35-43f8-8760-a38150765d31	1	CAPSULE	CAPSULE
bde105c0-1253-4543-b888-747a62bcc195	ee70ad19-35cd-42f9-a315-40c562717d77	1	CAPSULE	CAPSULE
54c194b3-f980-46ca-b1f8-529c34701099	860a4134-2886-4b1e-a546-caa8f3928762	1	CAPSULE	CAPSULE
409346f1-f20a-4a8a-93aa-65cffb79fd5e	ef6c2583-1004-46dd-8fd8-0178ecf46495	1	DOSE	GRANULE, FOR SUSPENSION
089c5f86-0a38-4ec8-9128-504bfc780f7d	c3aa8041-2976-4bec-a2c9-4409171f3539	1	CAPSULE	CAPSULE
3446a440-56bd-4dc5-b003-1619dc9759fe	ebc873c0-b7eb-49da-ab7c-d97a4ec09e2f	5	ML	GRANULE, FOR SUSPENSION
31778828-1561-46ba-943d-97595de31ecd	4bbd33d2-f966-4cbf-8aec-1a48d4a5e194	1	TABLET	TABLET
1cd9bb11-da3d-485f-8204-bd5b56a14ab6	20cb3bee-335f-4e92-8890-746e99ad2553	5	ML	SUSPENSION
efdb1fd8-a361-4977-b423-b47ec014f30a	046ca114-5581-4acd-8b22-7618cdcf0ae1	1	INJECTION	POWDER/INJECTABLE
549f556d-c175-44a8-bc93-0d34a7893e73	a36afa57-f441-41fa-9ba0-b2225776dc32	1	INJECTION	INJECTABLE
36cff229-0ff3-4d71-bb24-f7e2904c956f	3d16c4e5-fdc8-4aaa-af38-e6d2ba203ef2	1	INJECTION	POWDER/INJECTABLE
f8ba2bd7-ae02-447c-b841-d23927e707ea	2ee29bce-44bd-4bed-b384-25b11fba8ee4	1	VIAL	INJECTABLE
5afa5c35-f914-4877-bca1-9b83c8d7b673	3acb12a4-c1ff-449b-9e3c-eb80e627dc83	1	INJECTION	POWDER/INJECTABLE
a1cea11d-076f-427c-8b4a-6c649f700113	b5f572c2-6e28-4107-ac4c-248b03594a58	1	TABLET	TABLET
b32f7a49-8950-48c7-a12a-7047984a12f0	078c60e8-b0d1-4bd3-895b-8afbc1ddb298	1	TABLET	TABLET
f89a59e8-d491-4614-a191-a9ba93b7be3a	e97402bc-1701-4111-896a-e8c2a7f44546	1	TABLET	TABLET
