condition_id	icd10_code
c_9898	S82.009Q
c_9898	S82.009R
c_9898	S82.009S
c_9420	M41.80
c_9419	S02.609A
c_9419	S02.609B
c_9419	S02.609D
c_9419	S02.609G
c_9419	S02.609K
c_9419	S02.609S
c_26600	M79.643
c_10311	C25.4
c_3443	E16.4
c_6532	N89.8
c_10647	L72.0
c_25523	I15.0
c_10359	N50.89
c_10360	D27.9
c_21807	C49.9
c_5098	L22
c_21797	L98.2
c_11207	N61.0
c_4339	K22.2
c_10197	N13.5
c_6671	B35.0
c_3232	R25.2
c_4956	D72.820
c_4949	L91.0
c_4950	L73.9
c_21814	F45.41
c_2280	R35.0
c_10377	D03.9
c_2300	B02.9
c_2289	Z33.1
c_10180	E11.9
c_10179	N46.9
c_9697	H52.00
c_9707	K01.1
c_8121	B57.2
c_10970	I63.81
c_10969	F34.1
c_389	K57.30
c_8312	B89
c_8312	G02
c_11225	G24.5
c_2227	L97.909
c_9565	N92.5
c_4869	J98.2
c_5074	R09.89
c_2958	M79.603
c_9742	K04.5
c_22663	F01.50
c_22663	I63.9
c_2231	J06.9
c_3335	R18.8
c_10450	C72.9
c_10449	C80.1
c_10467	D47.09
c_2899	F20.0
c_2910	T14.90XA
c_2910	T14.90XD
c_2910	T14.90XS
c_2910	G95.89
c_19526	S12.100A
c_19526	S12.100B
c_19526	S12.100D
c_19526	S12.100G
c_19526	S12.100K
c_19526	S12.100S
c_25647	R62.50
c_11513	Q63.9
c_2872	D58.0
c_10481	D11.0
c_10848	C92.30
c_9759	R20.8
c_21780	L21.9
c_19942	E13.621
c_19942	L97.509
c_2168	F11.10
c_8817	T85.79XA
c_8817	T85.79XD
c_8817	T85.79XS
c_8817	B99.9
c_14096	G24.9
c_4385	H53.2
c_10682	D23.9
c_21770	B35.8
c_21769	C86.6
c_26606	S53.409A
c_26606	S53.409D
c_26606	S53.409S
c_10387	D23.9
c_2193	H20.9
c_2203	H60.90
c_11408	N81.89
c_9385	R09.89
c_2072	K26.9
c_9663	R09.89
c_9357	H33.20
c_10394	D17.9
c_10404	C22.2
c_13033	K92.1
c_17656	F91.3
c_14678	J10.1
c_8773	K74.5
c_4565	Q05.9
c_23535	R41.0
c_10363	D44.7
c_5396	R09.2
c_8616	M62.9
c_2550	K80.50
c_21752	L40.8
c_3699	N28.81
c_8780	E61.0
c_8779	G93.9
c_10013	L60.8
c_2144	E66.9
c_6705	B37.0
c_6695	H01.009
c_6667	L74.3
c_8388	G06.1
c_5022	I31.1
c_8353	L40.50
c_9905	H02.409
c_9895	S62.609A
c_9895	S62.609B
c_9895	S62.609D
c_9895	S62.609G
c_9895	S62.609K
c_9895	S62.609P
c_9895	S62.609S
c_9853	N93.9
c_10793	N88.8
c_8340	J36
c_8339	R58
c_8250	R06.1
c_10744	M93.20
c_10006	E11.3299
c_15117	O15.2
c_8201	T65.891A
c_8201	T65.891D
c_8201	T65.891S
c_8201	J69.1
c_8191	I82.0
c_2255	R63.0
c_10248	N94.89
c_8371	K55.8
