iso_639_2	iso_639_3	iso_639_5	iso_639_1	language_names	scope	type	native_names	other_names
jbo	jbo			Lojban	Individual	Constructed	*la .lojban.*	
jpn	jpn		ja	Japanese	Individual	Living	日本語; *Nihongo*	
jpr	jpr			Judeo-Persian	Individual	Living	*Dzhidi*	
jrb	jrb			Judeo-Arabic	Macrolanguage	Living	ערבית יהודית; عربية يهودية	
kaa	kaa			Kara-Kalpak	Individual	Living	*Qaraqalpaq tili*; Қарақалпақ тили	Karakalpak
kab	kab			Kabyle	Individual	Living	*Tamaziɣt Taqbaylit*; *Tazwawt*	
kac	kac			Kachin; Jingpho	Individual	Living	*Jingpho*	
kal	kal		kl	Kalaallisut; Greenlandic	Individual	Living	*Kalaallisut*	
kam	kam			Kamba	Individual	Living	*Kikamba*	
kan	kan		kn	Kannada	Individual	Living	ಕನ್ನಡ; *Kannađa*	
kar		kar		Karen languages	Collective	Genetic		Karenic languages
kas	kas		ks	Kashmiri	Individual	Living	कॉशुर; كأشُر	
kat / geo*	kat		ka	Georgian	Individual	Living	ქართული; *Kharthuli*	
kau	kau		kr	Kanuri	Macrolanguage	Living	*Kànùrí*	
kaw	kaw			Kawi	Individual	Historical	ꦧꦱꦗꦮ	
kaz	kaz		kk	Kazakh	Individual	Living	Қазақ тілі; *Qazaq tili*	
kbd	kbd			Kabardian	Individual	Living	Адыгэбзэ (Къэбэрдейбзэ); *Adıgăbză (Qăbărdeĭbză)*	
kha	kha			Khasi	Individual	Living	কা কতিয়েন খাশি, *Ka Ktien Khasi*	
khi		khi		Khoisan languages	Collective	Genetic		
khm	khm		km	Central Khmer	Individual	Living	ភាសាខ្មែរ, *Phiəsaakhmær*	
kho	kho			Khotanese; Sakan	Individual	Historical		Saka
kik	kik		ki	Kikuyu; Gikuyu	Individual	Living	*Gĩkũyũ*	
kin	kin		rw	Kinyarwanda	Individual	Living	*Ikinyarwanda*	
kir	kir		ky	Kirghiz; Kyrgyz	Individual	Living	Кыргызча, *Kırgızça*; Кыргыз тили, *Kırgız tili*	
kmb	kmb			Kimbundu	Individual	Living	*Kimbundu*	
kok	kok			Konkani	Macrolanguage	Living	कोंकणी	
kom	kom		kv	Komi	Macrolanguage	Living	Коми кыв	
kon	kon		kg	Kongo	Macrolanguage	Living	*Kikongo*	
kor	kor		ko	Korean	Individual	Living	한국어, *Han'gug'ô*	
kos	kos			Kosraean	Individual	Living	*Kosraean*	
kpe	kpe			Kpelle	Macrolanguage	Living	*Kpɛlɛwoo*	
krc	krc			Karachay-Balkar	Individual	Living	Къарачай-Малкъар тил; Таулу тил	
krl	krl			Karelian	Individual	Living	*Kard'al*; *Kariela*; *Karjala*	
kro		kro		Kru languages	Collective	Genetic		
kru	kru			Kurukh	Individual	Living	कुड़ुख़	
kua	kua		kj	Kuanyama; Kwanyama	Individual	Living	*Oshikwanyama*	
kum	kum			Kumyk	Individual	Living	Къумукъ тил, *Qumuq til*	
kur	kur		ku	Kurdish	Macrolanguage	Living	کوردی, *Kurdî*	
kut	kut			Kutenai	Individual	Living	*Ktunaxa*	
lad	lad			Ladino	Individual	Living	*Judeo-español*	Judaeo-Spanish
lah	lah			Lahnda	Macrolanguage	Living	بھارت کا	Western Punjabi
lam	lam			Lamba	Individual	Living	*Ichilamba*	
lao	lao		lo	Lao	Individual	Living	ພາສາລາວ, *Phasalaw*	
lat	lat		la	Latin	Individual	Historical	*Lingua latīna*	
lav	lav		lv	Latvian	Macrolanguage	Living	*Latviešu valoda*	
lez	lez			Lezghian	Individual	Living	Лезги чӏал	Lezgian
lim	lim		li	Limburgan; Limburger; Limburgish	Individual	Living	*Lèmburgs*	
lin	lin		ln	Lingala	Individual	Living	*Lingála*	
lit	lit		lt	Lithuanian	Individual	Living	*Lietuvių kalba*	
lol	lol			Mongo	Individual	Living	*Lomongo*	
loz	loz			Lozi	Individual	Living	*Silozi*	
ltz	ltz		lb	Luxembourgish; Letzeburgesch	Individual	Living	*Lëtzebuergesch*	
lua	lua			Luba-Lulua	Individual	Living	*Cilubà*; *Tshiluba*	Luba-Kasai
lub	lub		lu	Luba-Katanga	Individual	Living	*Kiluba*	
lug	lug		lg	Ganda	Individual	Living	*Luganda*	Luganda
lui	lui			Luiseno	Individual	Extinct	*Cham'teela*	
lun	lun			Lunda	Individual	Living	*Chilunda*	Lundan
luo	luo			Luo (Kenya and Tanzania)	Individual	Living	*Dholuo*	
lus	lus			Lushai	Individual	Living	*Mizo ṭawng*	Mizo
mad	mad			Madurese	Individual	Living	*Madhura*	
mag	mag			Magahi	Individual	Living	मगही	Magadhi
mah	mah		mh	Marshallese	Individual	Living	Kajin M̧ajeļ	
mai	mai			Maithili	Individual	Living	मैथिली; মৈথিলী	
mak	mak			Makasar	Individual	Living	ᨅᨔ ᨆᨀᨔᨑ, *basa Mangkasara'*	Makassarese
mal	mal		ml	Malayalam	Individual	Living	മലയാളം, *Malayāḷaṁ*	
man	man			Mandingo	Macrolanguage	Living	*Mandi'nka kango*, ߡߊ߲߬ߘߌ߲߬ߞߊ, مَانْدِنْجَوْ	Manding; Mandikan
map		map		Austronesian languages	Collective	Genetic		
mar	mar		mr	Marathi	Individual	Living	मराठी, *Marāţhī*	
mas	mas			Masai	Individual	Living	*ɔl Maa*	Maasai
mdf	mdf			Moksha	Individual	Living	Мокшень кяль	
mdr	mdr			Mandar	Individual	Living	*Mandar*	
men	men			Mende	Individual	Living	*Mɛnde yia*	
mga	mga			Irish, Middle (900–1200)	Individual	Historical	*Gaoidhealg*	
mic	mic			Mi'kmaq; Micmac	Individual	Living	*Míkmawísimk*	
min	min			Minangkabau	Individual	Living	*Baso Minang*	
mis	mis			Uncoded languages	Special	Special		
mkd / mac*	mkd		mk	Macedonian	Individual	Living	Македонски јазик, *Makedonski jazik*	
mkh		mkh		Mon-Khmer languages	Collective	Genetic		Austroasiatic languages
mlg	mlg		mg	Malagasy	Macrolanguage	Living	مَلَغَسِ	
mlt	mlt		mt	Maltese	Individual	Living	*Malti*	
mnc	mnc			Manchu	Individual	Living	ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ, *Manju gisun*	
mni	mni			Manipuri	Individual	Living	মৈতৈলোন, ꯃꯩꯇꯩꯂꯣꯟ, *Meiteilon*	Meitei
mno		mno		Manobo languages	Collective	Genetic		
moh	moh			Mohawk	Individual	Living	*Kanien’kéha*	
mon	mon		mn	Mongolian	Macrolanguage	Living	ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ, Монгол хэл	
mos	mos			Mossi	Individual	Living	*Mooré*	
mri / mao*	mri		mi	Maori	Individual	Living	*Te Reo Māori*	Māori
msa / may*	msa		ms	Malay	Macrolanguage	Living	*Bahasa Melayu*	Malaysian
mul	mul			Multiple languages	Special	Special		
mun		mun		Munda languages	Collective	Genetic		
mus	mus			Creek	Individual	Living	*Mvskoke*	Muscogee
mwl	mwl			Mirandese	Individual	Living	*Mirandés*; *lhéngua Mirandesa*	
mwr	mwr			Marwari	Macrolanguage	Living	मारवाड़ी	
mya / bur*	mya		my	Burmese	Individual	Living	မြန်မာစာ, *Mrãmācā*; မြန်မာစကား, *Mrãmākā:*	
myn		myn		Mayan languages	Collective	Genetic		
myv	myv			Erzya	Individual	Living	Ерзянь кель	
nah		nah		Nahuatl languages	Collective	Genetic		Nahuan languages
nai		nai		North American Indian languages	Collective	Geographic		
nap	nap			Neapolitan	Individual	Living	*Napulitano*	
nau	nau		na	Nauru	Individual	Living	*dorerin Naoero*	Nauruan
nav	nav		nv	Navajo; Navaho	Individual	Living	*Diné bizaad*; *Naabeehó bizaad*	
nbl	nbl		nr	Ndebele, South; South Ndebele	Individual	Living	*isiNdebele seSewula*	Southern Ndebele
nde	nde		nd	Ndebele, North; North Ndebele	Individual	Living	*siNdebele saseNyakatho*	Northern Ndebele
ndo	ndo		ng	Ndonga	Individual	Living	*Ndonga*	
nds	nds			Low German; Low Saxon; German, Low; Saxon, Low	Individual	Living	*Plattdütsch*	
nep	nep		ne	Nepali	Macrolanguage	Living	नेपाली, *Gorkhali*	
new	new			Nepal Bhasa; Newari	Individual	Living	नेपाल भाषा, *Nepāla bhāṣā*	Newar
nia	nia			Nias	Individual	Living	*Li Niha*	
nic		nic		Niger-Kordofanian languages	Collective	Genetic		Niger-Congo languages
niu	niu			Niuean	Individual	Living	*ko e vagahau Niuē*	
nld / dut*	nld		nl	Dutch; Flemish	Individual	Living	*Nederlands*; *Vlaams*	
nno	nno		nn	Norwegian Nynorsk; Nynorsk, Norwegian	Individual	Living	*Norsk Nynorsk*	Nynorsk
nob	nob		nb	Bokmål, Norwegian; Norwegian Bokmål	Individual	Living	*Norsk Bokmål*	Bokmål
nog	nog			Nogai	Individual	Living	Ногай тили	
non	non			Norse, Old	Individual	Historical	*Dǫnsk tunga*; *Norrœnt mál*	
nor	nor		no	Norwegian	Macrolanguage	Living	*Norsk*	
nqo	nqo			N'Ko	Individual	Living	ߒߞߏ	
nso	nso			Pedi; Sepedi; Northern Sotho	Individual	Living	*Sesotho sa Leboa*	
nub		nub		Nubian languages	Collective	Genetic	لغات نوبية	
nwc	nwc			Classical Newari; Old Newari; Classical Nepal Bhasa	Individual	Historical	पुलां भाय्; पुलाङु नेपाल भाय्	
nya	nya		ny	Chichewa; Chewa; Nyanja	Individual	Living	*Chichewa*; *Chinyanja*	Chichewan; Chewan
nym	nym			Nyamwezi	Individual	Living	*KiNyamwezi*	
nyn	nyn			Nyankole	Individual	Living	*Orunyankore*	Nkore
nyo	nyo			Nyoro	Individual	Living	*Orunyoro*	
nzi	nzi			Nzima	Individual	Living	*Nzema*	Nzema
oci	oci		oc	Occitan (post 1500)	Individual	Living	*Occitan*; *lenga d'Òc*	
